method,cophenetic_correlation,k,silhouette
average,0.6378764709889608,2,0.016415852273268
average,0.6378764709889608,3,0.011435334876722093
average,0.6378764709889608,4,0.006747097762263068
average,0.6378764709889608,5,0.004956751849644494
average,0.6378764709889608,6,0.007092890056533831
average,0.6378764709889608,7,0.0057788364056232285
average,0.6378764709889608,8,0.006364575247071141
complete,0.5620475931467641,2,nan
complete,0.5620475931467641,3,nan
complete,0.5620475931467641,4,nan
complete,0.5620475931467641,5,nan
complete,0.5620475931467641,6,nan
complete,0.5620475931467641,7,nan
complete,0.5620475931467641,8,0.002761276286280427
ward,0.7696013279914181,2,0.900190140800257
ward,0.7696013279914181,3,0.31713813026011717
ward,0.7696013279914181,4,0.3941374586448
ward,0.7696013279914181,5,0.37896434043261723
ward,0.7696013279914181,6,0.35106909292511485
ward,0.7696013279914181,7,0.28604892276292604
ward,0.7696013279914181,8,0.287798576196715
