title,authors,abstract,keywords,year,venue,pub_type,first_author_country
Application of Generative Artificial Intelligence Technology in Customized Learning Path Design: A New Strategy for Higher Education,"Li, Ying and Ji, Wei and Liu, Jiaqi and Li, Wenqing","In today's rapidly evolving education field, generative artificial intelligence (AI) technology is increasingly becoming a key force in promoting teaching innovation and personalized learning solutions. This article deeply explores the application of generative AI technology in designing customized learning paths in higher education and its profound impact on educational practice. Through specific case analysis, this study reveals how generative AI can effectively analyze students' learning behaviors, preferences, and performance to automatically generate and adjust learning paths in real time, thereby providing students with a highly personalized learning experience. Research results show that using generative AI technology can significantly improve learning efficiency, increase student engagement and satisfaction, and optimize learning outcomes. In addition, this article also demonstrates the ability of generative AI to promote innovation in learning content and teaching methods, improve the efficiency of educational resource utilization, and enhance the adaptability of learning paths. Through these findings, this paper provides valuable insights for higher education institutions, pointing out the importance and feasibility of leveraging generative AI technologies to design personalized learning paths, while highlighting key considerations that should be noted during implementation.",Education; Force; Generative AI; History; Intelligent systems; Learning (artificial intelligence); Optimization; Real-time systems; Resource management; Technological innovation; basic education; customized learning path; educational development; generative artificial intelligence; higher education innovation; learning experience optimization; problem; suggestion,2024,"Proceedings of the 2024 7th International Conference on E-Business, Information Management and Computer Science",inproceedings,UNK
Application Research of Generative Artificial Intelligence Technology in the Design and Art Course Teaching,"Zhang, Wenxiang and Liang, Zheng and Xie, Tao and Liu, Mingxing","The education mode of art design education in colleges and universities is more flexible, and the practitioners and art design talents in this field have a high acceptance of new technologies and new scenes, providing a wide range of application scenarios and product forms for the integration of technology and art. However, there is little research on the application of AI technology in the field of design and design education, so this paper studies the application of generative AI in the teaching of art and design courses. To provide help for the promotion and characteristic development of artificial intelligence technology in art design education in universities. Study artificial intelligence to understand its intelligent dialogue mechanism. Artificial intelligence can support vector machine sorting learning algorithms, transform sorting questions into classification questions, and answer the questioner’s questions. The operation mode of generative artificial intelligence technology and its application in the analysis of design teaching needs can allocate the application of creative teaching concept of art design, try to build a high-quality design education system supported by digital technology, promote the implementation of digital strategy of design education, and help realize modern design education in colleges and universities.",Art; Classification algorithms; Design teaching; Digital education; Education; Generative AI; Generative artificial intelligence; Learning (artificial intelligence); Support vector machines; Transforms,2024,Proceedings of the 2024 2nd International Conference on Information Education and Artificial Intelligence,inproceedings,UNK
Research and Analysis on the Application of Generative Artificial Intelligence Technology in Product Design,"Zhou, Zhixin and Han, Junwei and Li, Bo","This paper systematically reviews and summarizes the current application status of Generative Artificial Intelligence in product design. This paper analyzes and sorts out the basic concept, research status, application scenarios through literature analysis, and design practice. It discusses the potential applications, problems, and challenges of it in product design and prospects for the future. Based on this, through the research, a conclusion has been drawn that the research of Generative AI is in its infancy in the field of product design. Generative AI is very advantageous in shortening the design cycle, improving design efficiency, and saving time and cost. At the same time, it also has certain application potential for designers in designing, product development, and enhancing user experience. However, there are many challenges that must also be faced, including technical limitations, ethical dilemmas, and legal problems. Therefore, how to properly cope with the current challenges and effectively integrate Generative AI into the existing design process has become an important issue at present.",Affective Computing; Artificial intelligence; Computer Vision; Content Generation; Costs; Design Science; Design methodology; Generative Artificial Intelligence (AIGC); Hospital; Hospitals; Neural networks; Predictive models; Product Design; Training,2021,"Proceedings of the 2024 International Conference on Artificial Intelligence, Digital Media Technology and Interaction Design",inproceedings,UNK
Design and application of a web front-end development course training platform based on generative artificial intelligence and low code development,"Shan, Qiang","With the rapid development of artificial intelligence technology, generative artificial intelligence has shown strong application potential in various fields, and low code development has become a popular choice for quickly building application systems due to its efficient and easy-to-use characteristics. With the continuous updates and iterations of web front-end development technology, how to improve learners' practical abilities and development efficiency has become an important issue in the field of vocational education. Therefore, we have designed an innovative web front-end development course training platform that combines the automation generation ability of generative artificial intelligence and the fast construction advantage of low code development. In platform design, we fully utilize the automated generation capability of generative artificial intelligence to achieve intelligent generation and layout optimization of front-end page elements. At the same time, with the help of the visual programming interface and component-based development methods of low code development platforms, the front-end development process is simplified, the technical threshold is lowered, and students can focus more on the implementation of business logic and creative expression.",Art; Artificial intelligence; Industries; Signal processing; application; art design; artificial intelligence; collaboration; fashion industry,2021,Proceedings of the 2nd International Conference on Educational Knowledge and Informatization,inproceedings,CHN
A Review of the Role and Impact of Generative Artificial Intelligence on Education,"Zhang, Jing and Sun, Di","The emergence of generative artificial intelligence has had a profound impact on education. This study, based on the Preferred Reporting Items for Systematic Reviews and Meta-Analysis (PRISMA) method, analyzes 281 studies on the application of generative artificial intelligence in education. The results of this study can assist researchers in better understanding: (1) What are the key characteristics of the literature on generative artificial intelligence in education? (2) What is the current state of research on generative artificial intelligence in education? (3) How can generative artificial intelligence empower education to promote high-quality educational development? By examining these questions, we found that generative artificial intelligence in education presents contradictions—diverse demands and limited practice. Therefore, future efforts should focus on constructing region-specific large language models, educational corpora, and prompt engineering, thus further promoting the high-quality development of education.",AI education; Benchmark testing; ChatGPT; Computer science; Education; Education informatization; Generative AI; Generative artificial intelligence; Large language models; Literature review; Prompt engineering; Systematic literature review,2025,2025 7th International Conference on Computer Science and Technologies in Education (CSTE),inproceedings,UNK
7th International Workshop on Software-intensive Business (IWSiB 2024): Software-intensive Business in the Era of Generative Artificial Intelligence,"Melegati, Jorge and Petrik, Dimitri and Saltan, Andrey","The 7th International Workshop on Software-intensive Business (IWSiB'24), held on April 16, 2024, in Lisbon, Portugal, as part of the 46th International Conference on Software Engineering (ICSE 2024), brought together diverse research communities to address the pressing challenges faced by software-producing organizations. These challenges, driven by changing demands, evolving technologies, and dynamic environments, require interdisciplinary collaboration across software engineering and business research. The workshop focused on the theme ""Software Business in the Era of Generative Artificial Intelligence,"" highlighting the transformative impact of GenAI and large language models on software businesses. The event featured a keynote by Jan Bosch and showcased 11 accepted papers on a diverse range of topics. Participants engaged in interactive discussions, group activities, and ideation sessions aimed at identifying future challenges and solutions for software-intensive businesses, fostering ongoing community development and cross-disciplinary synergy.",Artificial intelligence; Business; Costs; Data privacy; Ethics; GPT-3.5; Generative AI; Informatics; Medical services; Productivity; Technological innovation; agile; algorithmic bias; artificial intelligence; automation; business transformation; data privacy; ethics.; innovation; multimodal AI; productivity; software ecosystem; software-intensive business,2024,SIGSOFT Softw. Eng. Notes,inproceedings,UNK
Machine Learning on Graphs in the Era of Generative Artificial Intelligence,"Wang, Yu and Zhang, Yu and Guo, Zhichun and Shomer, Harry and Han, Haoyu and Derr, Tyler and Ahmed, Nesreen K. and Halappanavar, Mahantesh and Tang, Jiliang","Graphs, which encode pairwise relations between entities, serve as a fundamental data structure across real-world domains. Many critical applications can be formulated as graph-based tasks, and graph machine learning (GML), from the shallow embedding models to graph neural networks and further advanced to the most powerful graph transformers, has been well-established to automate knowledge discovery and decision-making on graphs. In parallel, the recent emergence of large foundational models has driven machine learning into a new era of Generative Artificial Intelligence (Gen-AI), and this revolution presents both unprecedented opportunities and profound challenges for the well-established GML paradigms. However, few investigations have analyzed and envisioned how GML should evolve to harness these opportunities, address these challenges, and embrace this new Gen-AI era. To fill in this gap, we organize the first international Workshop on Machine Learning on Graphs in the Era of Generative Artificial Intelligence (MLoG-GenAI), held in connection with the 31st ACM Conference on Knowledge Discovery and Data Mining, which provides a venue to gather academic researchers and industry practitioners to discuss and picture the development of GML in the new Gen-AI era.",Accuracy; Artificial intelligence; Computational modeling; Data models; Deep learning; Hidden Markov models; Prompt engineering; Speech recognition; Transformers; Virtual assistants; generative artificial intelligence; graph machine learning,2024,"The Quick Guide to Prompt Engineering: Generative AI Tips and Tricks for ChatGPT, Bard, Dall-E, and Midjourney",inproceedings,CAN
Introduction to the research on the path of generative artificial intelligence technology ChatGPT to help teachers' professional development,"Qi, Wenqian and Liu, Mengmeng and Li, Na and Qu, Chenfei and Wang, Shaoqing and Li, Yuanmeng and Zhao, Mengyue and Liu, Chao","This research explores the application of ChatGPT, a generative artificial intelligence technology, in the field of education. ChatGPT, short for ""generative pre-training,"" continuously evolves and adapts through user feedback, facilitating authentic human-machine interaction. It can process natural language input and generate relevant responses, thereby providing information and answering questions. The study highlights the potential of ChatGPT in university teacher education, where it can offer intelligent teaching assistance, personalized learning resources, and instructional support. However, the integration of ChatGPT also raises challenges, such as redefining the authority of knowledge and altering the dynamics of the teacher-student relationship. Some scholars contend that ChatGPT cannot replicate genuine emotions or free will, underscoring the irreplaceable nature of education. The transformative impact of ChatGPT on education demands a reevaluation of teachers' roles and professional development in the digital age. This study seeks to clarify the role of teachers within the digital transformation represented by ChatGPT and to explore strategies for successfully navigating this shift. Additionally, the research aims to assess teachers' perceptions and utilization of ChatGPT, address related challenges, and evaluate the feasibility, potential applications, and limitations of its integration into teaching.",Artificial intelligence; ChatGPT; Cognition; Deep learning; Electronic commerce; Expert systems; Finance; Machine learning algorithms; Robots; Service robots; Symbols; Teacher; professional development,2024,Proceedings of the 2024 International Symposium on Artificial Intelligence for Education,inproceedings,UNK
Generative Artificial Intelligence in Learning Analytics: Contextualising Opportunities and Challenges through the Learning Analytics Cycle,"Yan, Lixiang and Martinez-Maldonado, Roberto and Gasevic, Dragan","Generative artificial intelligence (GenAI), exemplified by ChatGPT, Midjourney, and other state-of-the-art large language models and diffusion models, holds significant potential for transforming education and enhancing human productivity. While the prevalence of GenAI in education has motivated numerous research initiatives, integrating these technologies within the learning analytics (LA) cycle and their implications for practical interventions remain underexplored. This paper delves into the prospective opportunities and challenges GenAI poses for advancing LA. We present a concise overview of the current GenAI landscape and contextualise its potential roles within Clow’s generic framework of the LA cycle. We posit that GenAI can play pivotal roles in analysing unstructured data, generating synthetic learner data, enriching multimodal learner interactions, advancing interactive and explanatory analytics, and facilitating personalisation and adaptive interventions. As the lines blur between learners and GenAI tools, a renewed understanding of learners is needed. Future research can delve deep into frameworks and methodologies that advocate for human-AI collaboration. The LA community can play a pivotal role in capturing data about human and AI contributions and exploring how they can collaborate most effectively. As LA advances, it is essential to consider the pedagogical implications and broader socioeconomic impact of GenAI for ensuring an inclusive future.",Analytical models; Artificial Intelligence in Education; ChatGPT; Data models; Data privacy; Decision making; Digital systems; Education; Generative AI; Learning (artificial intelligence); Learning Analytics; Midjourney; Public policy; Stakeholders; educational technology; generative artificial intelligence; human-AI collaboration; learning analytics,2024,2024 19th Conference on Computer Science and Intelligence Systems (FedCSIS),inproceedings,JPN
Multimodal Emotion Analysis of Online Product Marketing Information in Social Interaction and Internet Behavior Based on Generative Artificial Intelligence,"Ding, Lu and Li, Xiake and Liang, Naifeng and Pi, Wei","With the proliferation of multimodal data such as text, images and videos on social networks, it is particularly important to extract valuable information from these diverse data sources. In this study, a multimodal sentiment analysis framework based on generative artificial intelligence (AI) technology is proposed, aiming at automatically identifying the emotional tendency in online product marketing information. By combining the latest generative AI technology, the model can not only analyze the direct feedback from users, but also capture the potential emotional color. The experimental results show that compared with the traditional single-modal sentiment analysis method, the accuracy of the proposed multimodal model is improved by 15\%, and the recall rate is improved by 12\%. This shows that the model can provide more accurate market insight for enterprises, and help to better understand customer needs, improve product design and optimize marketing strategies. The demonstrated multimodal sentiment analysis framework provides a powerful tool for understanding and responding to consumer sentiment. Future research will further explore how to enhance the generalization ability of the model and how to deal with emotional differences in cross-cultural background more effectively to achieve a wider application in the global scope.",Artificial intelligence; Automation; Chatbots; Costs; Generative adversarial networks; Generative artificial intelligence; Internet behavior; Market research; Multimodal sentiment analysis; Online product marketing; Scalability; Social interaction; Task analysis,2023,IT Professional,inproceedings,UNK
