method,cophenetic_correlation,k,silhouette
average,0.6378764709889608,2,0.016415852273268
average,0.6378764709889608,3,0.011435334876722096
average,0.6378764709889608,4,0.006747097762263072
average,0.6378764709889608,5,0.004956751849644496
average,0.6378764709889608,6,0.007092890056533836
average,0.6378764709889608,7,0.0057788364056232345
average,0.6378764709889608,8,0.0063645752470711464
complete,0.5620475931467641,2,nan
complete,0.5620475931467641,3,nan
complete,0.5620475931467641,4,nan
complete,0.5620475931467641,5,nan
complete,0.5620475931467641,6,nan
complete,0.5620475931467641,7,nan
complete,0.5620475931467641,8,0.002761276286280428
ward,0.7696013279914182,2,0.9001901408002567
ward,0.7696013279914182,3,0.317138130260117
ward,0.7696013279914182,4,0.3941374586448
ward,0.7696013279914182,5,0.3789643404326172
ward,0.7696013279914182,6,0.35106909292511485
ward,0.7696013279914182,7,0.286048922762926
ward,0.7696013279914182,8,0.28779857619671506
